"N","Артикул","Наименование полное","Символьный код"
"47","TRU3260MC","Кепка полевая ""COMBAT CAP"" TRU-SPEC®, распродажа","kepka_polevaya_combat_cap_tru-spec_rasprodazha_tru3260mc"
"48","TRU3260ND","Кепка полевая ""COMBAT CAP"" TRU-SPEC®, распродажа","kepka_polevaya_combat_cap_tru-spec_rasprodazha_tru3260nd"
"49","PROP32","Кепка полевая ""COMBAT CAP"" PROPPER®, распродажа","kepka_polevaya_combat_cap_propper_rasprodazha_prop32"
"50","10105021","Парка полевая (Германия) оригинал","parka_polevaya_germaniya_original_10105021"
"51","10106001","Подстежка Бундесвер оригинальная","podstezhka_bundesver_originalnaya_10106001"
"52","10122001","Парка американская M65 с подкладкой (без капюшона)","parka_amerikanskaya_m65_s_podkladkoj_bez_kapyushona_10122001"
"53","10150001","Парка зимняя ""Dubon"" (Франция)","parka_zimnyaya_dubon_franciya_rasprodazha"
"54","10150002","Парка зимняя ""Dubon"" (Франция)","parka_zimnyaya_dubon_franciya_tt_rasprodazha"
"55","10150024","Парка зимняя ""Dubon"" (Франция) TR, распродажа","parka_zimnyaya_dubon_franciya_tr_rasprodazha"
"56","10181001","Парка зимняя американская N3B ""Аляска""","parka_zimnyaya_amerikanskaya_n3b_alyaska"
"57","10181002","Парка зимняя американская N3B ""Аляска""","parka_amerikanskaya_n3b_10181002"
"58","10181003","Парка зимняя американская N3B ""Аляска""","parka_amerikanskaya_n3b_10181003"
"59","10181005","Парка зимняя американская N3B ""Аляска"", распродажа","parka_amerikanskaya_n3b_rasprodazha"
"60","10183000","Парка утепленная двухсторонняя ""WENDBAR"" с капюшоном, распродажа","parka_uteplennaya_dvuhstoronnyaya_wendbar_s_kapyushonom_10183000"
"61","10190002","Плащ офицерский кожаный Вермахт Реплика, распродажа","pla_oficerskij_kozhanyj_vermaht_replika_rasprodazha"
"62","10190008","Плащ офицерский кожаный Вермахт Реплика.распродажа","pla_oficerskij_kozhanyj_vermaht_replika_rasprodazha_10190008"
"63","10301001","Китель полевой старого образца (Германия), распродажа","kitel_polevoj_starogo_obrazca_germaniya_rasprodazha_10301001"
"64","10305003","Китель палубный ВМФ (Германия), распродажа","kitel_palubnyj_vmf_germaniya_rasprodazha_10305003"
"65","10311001","Куртка полевая демисезонная ""M65 Teesar"" (TR)","kurtka_polevaya_demisezonnaya_m65_tr_10311001"
"66","10311002","Куртка полевая демисезонная ""M65 Teesar"" (TR)","kurtka_polevaya_demisezonnaya_m65_tr_10311002"
"67","10311020","Куртка полевая демисезонная ""M65 Teesar"" (TR)","kurtka_polevaya_demisezonnaya_m65_tr_rasprodazha"
"68","10312004","Куртка американская полевая с подстёжкой M65 TEESAR","kurtka_amerikanskaya_polevaya_s_podstyozhkoj_m65_teesar_10312004"
"69","10313001","Подстежка американская для куртки M65","podstezhka_amerikanskaya_dlya_kurtki_m65_10313001"
"70","10313002","Подстежка американская для куртки M65","podstezhka_amerikanskaya_dlya_kurtki_m65_10313002"
"71","10314070","Куртка полевая демисезонная ""M65 Teesar"" (TR), распродажа","kurtka_polevaya_demisezonnaya_m65_tr_rasprodazha_10314070"
"72","10315001","Куртка полевая демисезонная ""M65""","kurtka_polevaya_demisezonnaya_m65_10315001"
"73","10315002","Куртка полевая демисезонная ""M65""","kurtka_polevaya_demisezonnaya_m65_10315002"
